lang;forum;title;original_author;start_date;end_date;range;time;nb_authors;nb_replies;avg_post_length;url
en;cosmetic body;Tummy tuck in poland with dr adam k- any reviews;chique001;09/04/09;12/04/09;3;4;3;5;499;http://forum.sofeminine.co.uk/forum/f104/__f1193_f104-Tummy-tuck-in-poland-with-dr-adam-k-any-reviews.html
en;cosmetic body;1 wk post op full tummy tuck & labiaplasty - any q's;aroundincircles;22/02/13;08/03/13;14;15;4;7;262;http://forum.sofeminine.co.uk/forum/f104/__f1601_f104-1-wk-post-op-full-tummy-tuck-labiaplasty-any-q-s.html
en;cosmetic body;Vaser lipo after c section;lauramiller18;29/04/13;29/04/13;0;1;0;1;0;http://forum.sofeminine.co.uk/forum/f104/__f1718_f104-Vaser-lipo-after-c-section.html
en;cosmetic body;Surgery abroad;leanneward86;10/02/13;25/02/13;15;16;11;22;388;http://forum.sofeminine.co.uk/forum/f104/__f1579_f104-Surgery-abroad.html
en;cosmetic body;Be-clinic??;staceylola2;16/08/11;18/08/11;2;3;6;24;773;http://forum.sofeminine.co.uk/forum/f104/__f890_f104-Be-clinic.html
en;cosmetic body;Smartlipo by dr al ayubi of swiss care;12kitty;12/01/08;02/05/08;111;112;26;37;398;http://forum.sofeminine.co.uk/forum/f104/__f1305_f104-Smartlipo-by-dr-al-ayubi-of-swiss-care.html
en;cosmetic body;Tummy tuck in london;rmddssj;10/05/13;10/05/13;0;1;1;2;631;http://forum.sofeminine.co.uk/forum/f104/__f1727_f104-Tummy-tuck-in-london.html
en;cosmetic body;Tummy tuck and liposuction with dr anthony erian;claudie08;01/02/13;20/04/13;78;79;1;2;204;http://forum.sofeminine.co.uk/forum/f104/__f1569_f104-Tummy-tuck-and-liposuction-with-dr-anthony-erian.html
en;cosmetic body;Tummy tuck - what surgeon??;joannamarie;14/10/10;18/02/13;858;859;7;8;415;http://forum.sofeminine.co.uk/forum/f104/__f552_f104-Tummy-tuck-what-surgeon.html
en;cosmetic body;Full tummy tuck... is it worth it?;aroundincircles;30/01/13;06/02/13;7;8;2;6;452;http://forum.sofeminine.co.uk/forum/f104/__f1568_f104-Full-tummy-tuck-is-it-worth-it.html
en;cosmetic body;Tummy tuck and lipo booked aug 201 mr mahdi transform - anyone else?;kaymarie;28/07/10;19/11/12;845;846;7;11;444;http://forum.sofeminine.co.uk/forum/f104/__f442_f104-Tummy-tuck-and-lipo-booked-aug-201-mr-mahdi-transform-anyone-else.html
en;cosmetic body;Any fitness fanatics had a tummy tuck?;susielovespink;09/11/12;11/11/12;2;3;2;3;388;http://forum.sofeminine.co.uk/forum/f104/__f1515_f104-Any-fitness-fanatics-had-a-tummy-tuck.html
en;cosmetic body;What happens if you're not happy after vaser?;lisawoos989;27/06/10;17/11/10;143;144;14;18;546;http://forum.sofeminine.co.uk/forum/f104/__f396_f104-What-happens-if-you-re-not-happy-after-vaser.html
en;cosmetic body;Tummy tuck....booked in for october;jodismith86;06/08/12;06/08/12;0;1;6;11;599;http://forum.sofeminine.co.uk/forum/f104/__f1435_f104-Tummy-tuck-booked-in-for-october-shy.html
en;cosmetic body;Tummy tuck;shoshi6;18/04/07;02/05/07;14;15;13;18;407;http://forum.sofeminine.co.uk/forum/f104/__f1206_f104-Tummy-tuck.html
en;cosmetic body;Where to go for smart lipo?;lovelystuff09;17/11/09;09/03/10;112;113;4;7;482;http://forum.sofeminine.co.uk/forum/f104/__f144_f104-Where-to-go-for-smart-lipo.html
en;cosmetic body;Tummy tuck info please?;kinkyboots33;24/08/12;01/09/12;8;9;4;6;533;http://forum.sofeminine.co.uk/forum/f104/__f1453_f104-Tummy-tuck-info-please.html
en;cosmetic body;Tummy tuck surgeons;sarahlondon2;19/09/11;18/10/11;29;30;11;12;257;http://forum.sofeminine.co.uk/forum/f104/__f921_f104-Tummy-tuck-surgeons.html
en;cosmetic body;Mini- tummy tuck;trisha1210;28/07/12;28/07/12;0;1;0;1;0;http://forum.sofeminine.co.uk/forum/f104/__f1426_f104-Mini-tummy-tuck.html
en;cosmetic body;Help! has anyone had lipo with dr adam kalecinski in poland?;mejulieeee;02/01/12;19/01/12;17;18;7;14;277;http://forum.sofeminine.co.uk/forum/f104/__f1034_f104-Help-has-anyone-had-lipo-with-dr-adam-kalecinski-in-poland.html
en;cosmetic body;Tummy tucks with yannis alexandrides at harley st.;mich615;10/06/09;01/02/12;966;967;4;6;524;http://forum.sofeminine.co.uk/forum/f104/__f14_f104-Tummy-tucks-with-yannis-alexandrides-at-harley-st.html
en;cosmetic body;Surgeon recommended for tummy tuck in uk;swifty02;20/06/12;20/06/12;0;1;1;2;852;http://forum.sofeminine.co.uk/forum/f104/__f1395_f104-Surgeon-recommended-for-tummy-tuck-in-uk.html
en;cosmetic breasts;Ba tomorrow at highgate, mr. rezai;englandbunny;06/03/13;07/03/13;1;2;6;11;299;http://forum.sofeminine.co.uk/forum/f52/__f55436_f52-Ba-tomorrow-at-highgate-mr-rezai.html
en;cosmetic breasts;Numbness;excitedvicky;19/03/13;19/03/13;0;1;5;7;227;http://forum.sofeminine.co.uk/forum/f52/__f55610_f52-Numbness.html
en;cosmetic breasts;Anyone had a breast enlargement with transform?;tetti3;27/05/08;22/06/08;26;27;27;30;621;http://forum.sofeminine.co.uk/forum/f52/__f7442_f52-Anyone-had-a-breast-enlargement-with-transform.html
en;cosmetic breasts;Anyone had 230-260cc?;becky7101;15/03/13;17/03/13;2;3;10;45;361;http://forum.sofeminine.co.uk/forum/f52/__f55566_f52-Anyone-had-230-260cc.html
en;cosmetic breasts;7 hours post op- second time round;sophieleanne31;23/03/13;23/03/13;0;1;6;22;572;http://forum.sofeminine.co.uk/forum/f52/__f55637_f52-7-hours-post-op-second-time-round-d.html
en;cosmetic breasts;Numbness;wozzajo;16/03/13;16/03/13;0;1;3;6;185;http://forum.sofeminine.co.uk/forum/f52/__f55572_f52-Numbness.html
en;cosmetic breasts;Wired one girls!!;excitedvicky;14/03/13;14/03/13;0;1;2;3;241;http://forum.sofeminine.co.uk/forum/f52/__f55535_f52-Wired-one-girls.html
en;cosmetic breasts;"Scared... ;0(";boobaa16;07/02/13;07/02/13;0;1;7;47;245;http://forum.sofeminine.co.uk/forum/f52/__f55130_f52-Scared-0.html
en;cosmetic breasts;All done  25th feb abbey pines;jboobie2;27/02/13;27/02/13;0;1;2;9;446;http://forum.sofeminine.co.uk/forum/f52/__f55342_f52-All-done-25th-feb-abbey-pines.html
en;cosmetic breasts;Birkdale clinic girlies?! xxx;mrsr3;23/01/13;26/01/13;3;4;7;43;377;http://forum.sofeminine.co.uk/forum/f52/__f54959_f52-Birkdale-clinic-girlies-xxx.html
en;cosmetic breasts;Dr hardy the new birkdale clini crosby;debbie88a;12/02/13;16/02/13;4;5;3;8;562;http://forum.sofeminine.co.uk/forum/f52/__f55188_f52-Dr-hardy-the-new-birkdale-clini-crosby.html
en;cosmetic breasts;Implants & uplift;lauracarter2;03/12/12;04/12/12;1;2;3;10;411;http://forum.sofeminine.co.uk/forum/f52/__f54581_f52-Implants-uplift.html
en;cosmetic breasts;Sleeping tablets;kellyrobbo;04/10/08;04/10/08;0;1;5;7;309;http://forum.sofeminine.co.uk/forum/f52/__f11280_f52-Sleeping-tablets.html
en;cosmetic breasts;Waiting to shower...??;sarahh1224;25/10/12;25/10/12;0;1;6;8;269;http://forum.sofeminine.co.uk/forum/f52/__f54199_f52-Waiting-to-shower.html
en;cosmetic breasts;Unders - how much pain when you wake up?;iwantniceboobs;13/09/12;16/09/12;3;4;9;18;202;http://forum.sofeminine.co.uk/forum/f52/__f53680_f52-Unders-how-much-pain-when-you-wake-up.html
en;cosmetic breasts;Traynor,payne +more help pls;chiquita9811;08/07/12;29/08/12;52;53;1;2;782;http://forum.sofeminine.co.uk/forum/f52/__f52671_f52-Traynor-payne-more-help-pls.html
en;cosmetic breasts;Ba and looking after children;pebbles361;15/08/12;15/08/12;0;1;5;7;301;http://forum.sofeminine.co.uk/forum/f52/__f53240_f52-Ba-and-looking-after-children.html
en;cosmetic breasts;Scars;fitnessfreakkaz1;17/07/12;19/07/12;2;3;8;15;183;http://forum.sofeminine.co.uk/forum/f52/__f52809_f52-Scars.html
en;cosmetic breasts;The hospital group breast implants;laralouiseschibler;12/07/12;12/07/12;0;1;7;8;217;http://forum.sofeminine.co.uk/forum/f52/__f52742_f52-The-hospital-group-breast-implants.html
en;cosmetic breasts;4 weeks post op and iv got stitches hanging out!!;caffy5;12/02/08;12/02/08;0;1;5;7;264;http://forum.sofeminine.co.uk/forum/f52/__f4631_f52-4-weeks-post-op-and-iv-got-stitches-hanging-out.html
en;cosmetic breasts;Is this usual?;pebbles361;24/07/12;24/07/12;0;1;4;7;721;http://forum.sofeminine.co.uk/forum/f52/__f52929_f52-Is-this-usual.html
en;cosmetic breasts;210 or 230?? do they look smaller if they're under? help!;sunshinelady1982;13/04/12;13/04/12;0;1;12;29;442;http://forum.sofeminine.co.uk/forum/f52/__f50540_f52-210-or-230-do-they-look-smaller-if-they-re-under-help.html
en;cosmetic breasts;Help girlies... i'm worried!;beckylou8320;07/07/12;07/07/12;0;1;3;5;823;http://forum.sofeminine.co.uk/forum/f52/__f52649_f52-Help-girlies-i-m-worried.html
en;cosmetic breasts;Couple new pics up! 365&410cc - 12wks post op.x;laurenellouise92;01/07/12;07/07/12;6;7;7;12;160;http://forum.sofeminine.co.uk/forum/f52/__f52554_f52-Couple-new-pics-up-365-410cc-12wks-post-op-x.html
en;cosmetic breasts;Painfull hard lump from cannula ???;mrs07;29/06/12;29/06/12;0;1;3;5;192;http://forum.sofeminine.co.uk/forum/f52/__f52523_f52-Painfull-hard-lump-from-cannula.html
en;cosmetic breasts;19 wks po & going back the gym;gogglebox79;25/06/12;25/06/12;0;1;4;6;260;http://forum.sofeminine.co.uk/forum/f52/__f52441_f52-19-wks-po-going-back-the-gym.html
en;cosmetic breasts;New to all this!;christapn6;24/06/12;24/06/12;0;1;2;7;343;http://forum.sofeminine.co.uk/forum/f52/__f52433_f52-New-to-all-this.html
