host	tag	tld
aafp.org	none	none
abcnews.go.com	medical	none
acog.org	none	none
americanpregnancy.org	medical	none
apps.who.int	none	none
asaptoday.org	none	none
asktmc.com	none	none
atlantichealth.org	medical	none
babies.sutterhealth.org	medical	none
babycenter.ca	medical	none
babycenter.com	medical	none
babycenter.com	controversies	none
babycenter.com	experiences	none
babycenter.com.au	medical	none
babycenter.com.my	medical	none
babycenter.in	medical	none
babycenter.in	controversies	none
babycentre.co.uk	medical	none
babycentre.co.uk	controversies	none
bbc.co.uk	none	none
bellybelly.com.au	medical	none
bellybelly.com.au	controversies	none
betterhealth.vic.gov.au	medical	none
birth.com.au	medical	none
birthbliss.wordpress.com	controversies	none
birthingfromwithin.com	medical	none
birthingfromwithin.com	controversies	none
birthrites.org	none	none
blog.ican-online.org	controversies	none
blog.northshorelij.com	none	none
blogs.babycenter.com	experiences	none
bodyandhealth.canada.com	medical	none
bodyandsoul.com.au	medical	none
bodyandsoul.com.au	controversies	none
bodyandsoul.com.au	experiences	none
breastfeeding.asn.au	medical	none
breastfeeding.asn.au	controversies	none
bupa-intl.com	none	none
bupa.co.uk	medical	none
bupa.com.hk	medical	none
caesarean.org.uk	none	none
canaustralia.net	none	none
caresinc.org.au	none	none
catawbavalleymedical.org	none	none
cdc.gov	medical	none
celebritybabies.people.com	experiences	none
cesarean.com.au	medical	none
cesarean.com.au	controversies	none
cesarean.com.au	experiences	none
childbirthconnection.org	medical	none
childbirthconnection.org	controversies	none
chop.edu	medical	none
chop.edu	controversies	none
chp.edu	none	none
cmqcc.org	none	none
commonhealth.wbur.org	controversies	none
community.babycenter.com	experiences	none
consensus.nih.gov	medical	none
consensus.nih.gov	controversies	none
content.healthaffairs.org	medical	none
content.healthaffairs.org	controversies	none
cpanty.com	none	none
cwcare.net	medical	none
dailymail.co.uk	controversies	none
dailymail.co.uk	experiences	none
diagnosticimaging.com	none	none
dilile.com	none	none
doctoralia.co.uk	none	none
dogbreedinfo.com	none	none
drjennifermercier.com	medical	none
drkenlaw.com.au	controversies	none
dummies.com	medical	none
ehealthme.com	none	none
eheart.com	controversies	none
embryology.med.unsw.edu.au	none	none
emedicinehealth.com	medical	none
essentialbaby.com.au	medical	none
essentialbaby.com.au	controversies	none
foxnews.com	medical	none
foxnews.com	controversies	none
friscowomenshealth.com	medical	none
friscowomenshealth.com	controversies	none
friscowomenshealth.com	experiences	none
gasexchange.com	medical	none
gasexchange.com	controversies	none
gfmer.ch	medical	none
ghc.org	medical	none
gov.uk	controversies	none
health.howstuffworks.com	medical	none
health.sa.gov.au	none	none
healthcaremagic.com	none	none
healthcentral.com	medical	none
