host	tag	tld
aafp.org	none	org
abcnews.go.com	medical	com
acog.org	medical	org
americanpregnancy.org	medical	org
apps.who.int	none	int
asaptoday.org	none	org
asktmc.com	none	com
atlantichealth.org	medical	org
babies.sutterhealth.org	medical	org
babycenter.ca	medical	ca
babycenter.com	medical	com
babycenter.com	experiences	com
babycenter.com.au	medical	com.au
babycenter.com.my	medical	com.my
babycenter.in	medical	in
babycentre.co.uk	medical	co.uk
bbc.co.uk	medical	co.uk
bellybelly.com.au	medical	com.au
betterhealth.vic.gov.au	medical	vic.gov.au
birth.com.au	medical	com.au
birthbliss.wordpress.com	controversies	com
birthingfromwithin.com	medical	com
birthrites.org	none	org
blog.ican-online.org	medical	org
blog.ican-online.org	controversies	org
blog.northshorelij.com	none	com
blogs.babycenter.com	experiences	com
bodyandhealth.canada.com	medical	com
bodyandsoul.com.au	medical	com.au
breastfeeding.asn.au	medical	asn.au
bupa-intl.com	none	com
bupa.co.uk	medical	co.uk
bupa.com.hk	medical	com.hk
caesarean.org.uk	controversies	org.uk
canaustralia.net	controversies	net
caresinc.org.au	none	org.au
catawbavalleymedical.org	none	org
cdc.gov	medical	gov
celebritybabies.people.com	experiences	com
cesarean.com.au	medical	com.au
childbirthconnection.org	medical	org
chop.edu	medical	edu
chp.edu	none	edu
cmqcc.org	none	org
commonhealth.wbur.org	controversies	org
community.babycenter.com	controversies	com
consensus.nih.gov	medical	gov
content.healthaffairs.org	medical	org
cpanty.com	none	com
cwcare.net	medical	net
dailymail.co.uk	experiences	co.uk
dailymail.co.uk	medical	co.uk
diagnosticimaging.com	none	com
dilile.com	none	com
doctoralia.co.uk	none	co.uk
dogbreedinfo.com	none	com
drjennifermercier.com	medical	com
drkenlaw.com.au	controversies	com.au
dummies.com	medical	com
ehealthme.com	none	com
eheart.com	controversies	com
embryology.med.unsw.edu.au	none	edu.au
emedicinehealth.com	medical	com
essentialbaby.com.au	medical	com.au
foxnews.com	medical	com
friscowomenshealth.com	medical	com
gasexchange.com	medical	com
gfmer.ch	medical	ch
ghc.org	medical	org
gov.uk	controversies	gov.uk
