URL,TAG,QUERY,HOST,TLD
http://abcnews.go.com/Health/section-rates-vary-widely-hospitals-study-finds/story?id=18656847,M,C-Section,abcnews.go.com,.com
http://americanpregnancy.org/labornbirth/cesareanaftercare.html,M,Cesarean,americanpregnancy.org,.org
http://americanpregnancy.org/labornbirth/cesareanprocedure.html,M,Cesarean,americanpregnancy.org,.org
http://americanpregnancy.org/labornbirth/cesareanrisks.html,M,Cesarean delivery,americanpregnancy.org,.org
http://americanpregnancy.org/labornbirth/reasonsforacesarean.html,M,Cesarean delivery,americanpregnancy.org,.org
http://americanpregnancy.org/labornbirth/vbac.html,M,Cesarean delivery,americanpregnancy.org,.org
http://birthbliss.wordpress.com/2008/06/09/skin-to-skin-caesarean-gentle-surgical-birth/,C,Surgical delivery,birthbliss.wordpress.com,.com
http://blog.ican-online.org/2012/04/14/the-family-centered-cesarean/,C,Cesarean,blog.ican-online.org,.org
http://blog.ican-online.org/tag/c-section/,M,C-Section,blog.ican-online.org,.org
http://blog.ican-online.org/tag/c-section/,C,C-Section,blog.ican-online.org,.org
http://blogs.babycenter.com/celebrities/03152013-camila-alves-c-section-recovery-is-extremely-hard/,E,C-Section,blogs.babycenter.com,.com
http://blogs.babycenter.com/celebrities/tom-arnold-baby-04212013-how-to-watch-a-c-section/,E,C-Section,blogs.babycenter.com,.com
http://bodyandhealth.canada.com/channel_section_details.asp?text_id=3895&channel_id=2062&relation_id=84076,M,C-Section,bodyandhealth.canada.com,.com
http://canaustralia.net.s150349.gridserver.com/myth-caesareans-prevent-pelvic-floor-dysfunction/,C,CS delivery,canaustralia.net.s150349.gridserver.com,.com
http://celebritybabies.people.com/2013/03/14/the-view-camila-alves-c-section/,E,C-Section,celebritybabies.people.com,.com
http://celebritybabies.people.com/2013/03/14/the-view-camila-alves-c-section/,V,C-Section,celebritybabies.people.com,.com
http://commonhealth.wbur.org/2013/01/whats-a-natural-cesarean-and-how-natural-is-it-really,C,Cesarean,commonhealth.wbur.org,.org
http://community.babycenter.com/post/a24451865/when_can_i_have_a_full_body_massage_after_cs_delivery,E,CS delivery,community.babycenter.com,.com
http://community.babycenter.com/post/a31552171/cs_delivery_date_dilemma,C,CS delivery,community.babycenter.com,.com
http://community.babycenter.com/post/a31552171/cs_delivery_date_dilemma,E,CS delivery,community.babycenter.com,.com
http://community.babycenter.com/post/a36479578/usual_schedule_for_cs_birth_-update,C,CS delivery,community.babycenter.com,.com
http://community.babycenter.com/post/a36479578/usual_schedule_for_cs_birth_-update,E,CS delivery,community.babycenter.com,.com
http://consensus.nih.gov/2006/cesareanstatement.htm,M,Cesarean delivery,consensus.nih.gov,.gov
http://consensus.nih.gov/2006/cesareanstatement.htm,C,Cesarean delivery,consensus.nih.gov,.gov
http://content.healthaffairs.org/content/32/3/527.abstract,M,Cesarean delivery,content.healthaffairs.org,.org
http://content.healthaffairs.org/content/32/3/527.abstract,C,Cesarean delivery,content.healthaffairs.org,.org
http://drjennifermercier.com/category/delivery/,M,Surgical delivery,drjennifermercier.com,.com
http://gasexchange.com/questions/do-labor-epidurals-increase-the-risk-of-instrumental-or-surgical-delivery/,M,Surgical delivery,gasexchange.com,.com
http://gasexchange.com/questions/do-labor-epidurals-increase-the-risk-of-instrumental-or-surgical-delivery/,C,Surgical delivery,gasexchange.com,.com
