group	date	value
minor	2001-11	0
minor	2002-01	0
minor	2002-02	0
minor	2002-03	0
minor	2002-08	0
minor	2002-11	0
minor	2003-01	0
minor	2003-02	0
minor	2003-03	0
minor	2003-04	0
minor	2003-05	0
minor	2003-06	0
minor	2003-07	0
minor	2003-08	0
minor	2003-09	0
minor	2003-10	0
minor	2003-11	0
minor	2003-12	0
minor	2004-01	0
minor	2004-02	0
minor	2004-03	0
minor	2004-04	0
minor	2004-05	0
minor	2004-06	0
minor	2004-07	0
minor	2004-08	0
minor	2004-10	0
minor	2004-11	0
minor	2004-12	0
minor	2005-01	0
minor	2005-02	0
minor	2005-03	0
minor	2005-04	0
minor	2005-05	0
minor	2005-06	0
minor	2005-07	0
minor	2005-08	0
minor	2005-09	0
minor	2005-10	0
minor	2005-11	0
minor	2005-12	0
minor	2006-01	0
minor	2006-02	0
minor	2006-03	0
minor	2006-04	4
minor	2006-05	2
minor	2006-06	2
minor	2006-07	1
minor	2006-08	3
minor	2006-09	3
minor	2006-10	2
minor	2006-11	0
minor	2006-12	0
minor	2007-01	0
minor	2007-02	0
minor	2007-03	0
minor	2007-04	0
minor	2007-05	1
minor	2007-06	0
minor	2007-07	1
minor	2007-08	0
minor	2007-09	0
minor	2007-10	0
minor	2007-11	0
minor	2007-12	0
minor	2008-01	0
minor	2008-02	0
minor	2008-03	0
minor	2008-04	1
minor	2008-05	0
minor	2008-06	0
minor	2008-07	0
minor	2008-08	0
minor	2008-09	2
minor	2008-10	0
minor	2008-11	0
minor	2008-12	0
minor	2009-01	0
minor	2009-02	0
minor	2009-03	0
minor	2009-04	0
minor	2009-05	0
minor	2009-06	0
minor	2009-07	0
minor	2009-08	2
minor	2009-09	1
minor	2009-10	0
minor	2009-11	0
minor	2009-12	0
minor	2010-01	0
minor	2010-02	0
minor	2010-03	0
minor	2010-04	0
minor	2010-05	0
minor	2010-06	0
minor	2010-07	0
minor	2010-08	0
minor	2010-09	0
minor	2010-10	1
minor	2010-11	0
minor	2010-12	0
minor	2011-01	0
minor	2011-02	0
minor	2011-03	0
minor	2011-04	0
minor	2011-05	0
minor	2011-06	0
minor	2011-07	0
minor	2011-08	0
minor	2011-09	0
minor	2011-10	0
minor	2011-11	0
minor	2011-12	0
minor	2012-01	0
minor	2012-02	0
minor	2012-03	3
minor	2012-04	2
minor	2012-05	0
minor	2012-06	0
minor	2012-07	1
minor	2012-08	0
minor	2012-09	0
minor	2012-10	0
minor	2012-11	0
minor	2012-12	1
minor	2013-01	0
minor	2013-02	0
minor	2013-03	0
minor	2013-04	0
minor	2013-05	0
normal	2001-11	0
normal	2002-01	0
normal	2002-02	0
normal	2002-03	0
normal	2002-08	0
normal	2002-11	0
normal	2003-01	0
normal	2003-02	0
normal	2003-03	0
normal	2003-04	0
normal	2003-05	1
normal	2003-06	0
normal	2003-07	0
normal	2003-08	0
normal	2003-09	0
normal	2003-10	0
normal	2003-11	0
normal	2003-12	0
normal	2004-01	0
normal	2004-02	0
normal	2004-03	0
normal	2004-04	0
normal	2004-05	0
normal	2004-06	0
normal	2004-07	0
normal	2004-08	0
normal	2004-10	0
normal	2004-11	0
normal	2004-12	0
normal	2005-01	0
normal	2005-02	0
normal	2005-03	0
normal	2005-04	0
normal	2005-05	0
normal	2005-06	0
normal	2005-07	0
normal	2005-08	0
normal	2005-09	0
normal	2005-10	0
normal	2005-11	0
normal	2005-12	0
normal	2006-01	0
normal	2006-02	0
normal	2006-03	0
normal	2006-04	0
normal	2006-05	0
normal	2006-06	0
normal	2006-07	0
normal	2006-08	0
normal	2006-09	0
normal	2006-10	0
normal	2006-11	0
normal	2006-12	0
normal	2007-01	4
normal	2007-02	1
normal	2007-03	1
normal	2007-04	2
normal	2007-05	1
normal	2007-06	1
normal	2007-07	3
normal	2007-08	0
normal	2007-09	0
normal	2007-10	0
normal	2007-11	2
normal	2007-12	6
normal	2008-01	3
normal	2008-02	0
normal	2008-03	6
normal	2008-04	12
normal	2008-05	12
normal	2008-06	3
normal	2008-07	8
normal	2008-08	11
normal	2008-09	7
normal	2008-10	2
normal	2008-11	3
normal	2008-12	6
normal	2009-01	5
normal	2009-02	6
normal	2009-03	14
normal	2009-04	1
normal	2009-05	0
normal	2009-06	0
normal	2009-07	6
normal	2009-08	9
normal	2009-09	0
normal	2009-10	0
normal	2009-11	3
normal	2009-12	2
normal	2010-01	1
normal	2010-02	0
normal	2010-03	3
normal	2010-04	5
normal	2010-05	2
normal	2010-06	12
normal	2010-07	0
normal	2010-08	1
normal	2010-09	2
normal	2010-10	2
normal	2010-11	5
normal	2010-12	2
normal	2011-01	2
normal	2011-02	2
normal	2011-03	2
normal	2011-04	5
normal	2011-05	0
normal	2011-06	0
normal	2011-07	3
normal	2011-08	11
normal	2011-09	1
normal	2011-10	2
normal	2011-11	0
normal	2011-12	1
normal	2012-01	1
normal	2012-02	0
normal	2012-03	27
normal	2012-04	18
normal	2012-05	3
normal	2012-06	3
normal	2012-07	8
normal	2012-08	3
normal	2012-09	2
normal	2012-10	1
normal	2012-11	1
normal	2012-12	4
normal	2013-01	5
normal	2013-02	2
normal	2013-03	0
normal	2013-04	1
normal	2013-05	1
revert	2001-11	0
revert	2002-01	0
revert	2002-02	0
revert	2002-03	0
revert	2002-08	0
revert	2002-11	0
revert	2003-01	0
revert	2003-02	0
revert	2003-03	0
revert	2003-04	0
revert	2003-05	0
revert	2003-06	0
revert	2003-07	0
revert	2003-08	0
revert	2003-09	0
revert	2003-10	0
revert	2003-11	0
revert	2003-12	0
revert	2004-01	0
revert	2004-02	0
revert	2004-03	0
revert	2004-04	0
revert	2004-05	0
revert	2004-06	0
revert	2004-07	0
revert	2004-08	0
revert	2004-10	0
revert	2004-11	0
revert	2004-12	0
revert	2005-01	0
revert	2005-02	0
revert	2005-03	0
revert	2005-04	0
revert	2005-05	0
revert	2005-06	0
revert	2005-07	0
revert	2005-08	0
revert	2005-09	0
revert	2005-10	0
revert	2005-11	0
revert	2005-12	0
revert	2006-01	0
revert	2006-02	0
revert	2006-03	0
revert	2006-04	0
revert	2006-05	0
revert	2006-06	0
revert	2006-07	0
revert	2006-08	0
revert	2006-09	0
revert	2006-10	0
revert	2006-11	0
revert	2006-12	1
revert	2007-01	1
revert	2007-02	1
revert	2007-03	2
revert	2007-04	0
revert	2007-05	0
revert	2007-06	0
revert	2007-07	1
revert	2007-08	0
revert	2007-09	0
revert	2007-10	0
revert	2007-11	0
revert	2007-12	0
revert	2008-01	1
revert	2008-02	1
revert	2008-03	0
revert	2008-04	1
revert	2008-05	0
revert	2008-06	3
revert	2008-07	2
revert	2008-08	0
revert	2008-09	6
revert	2008-10	5
revert	2008-11	6
revert	2008-12	1
revert	2009-01	1
revert	2009-02	1
revert	2009-03	2
revert	2009-04	5
revert	2009-05	1
revert	2009-06	0
revert	2009-07	0
revert	2009-08	1
revert	2009-09	0
revert	2009-10	0
revert	2009-11	1
revert	2009-12	2
revert	2010-01	0
revert	2010-02	0
revert	2010-03	0
revert	2010-04	0
revert	2010-05	1
revert	2010-06	3
revert	2010-07	0
revert	2010-08	0
revert	2010-09	0
revert	2010-10	1
revert	2010-11	2
revert	2010-12	0
revert	2011-01	0
revert	2011-02	0
revert	2011-03	0
revert	2011-04	0
revert	2011-05	0
revert	2011-06	1
revert	2011-07	0
revert	2011-08	2
revert	2011-09	0
revert	2011-10	0
revert	2011-11	0
revert	2011-12	1
revert	2012-01	1
revert	2012-02	1
revert	2012-03	2
revert	2012-04	0
revert	2012-05	3
revert	2012-06	0
revert	2012-07	1
revert	2012-08	1
revert	2012-09	0
revert	2012-10	1
revert	2012-11	0
revert	2012-12	0
revert	2013-01	0
revert	2013-02	1
revert	2013-03	1
revert	2013-04	4
revert	2013-05	0
spoil	2001-11	0
spoil	2002-01	0
spoil	2002-02	0
spoil	2002-03	0
spoil	2002-08	0
spoil	2002-11	0
spoil	2003-01	0
spoil	2003-02	0
spoil	2003-03	0
spoil	2003-04	0
spoil	2003-05	0
spoil	2003-06	0
spoil	2003-07	0
spoil	2003-08	0
spoil	2003-09	0
spoil	2003-10	0
spoil	2003-11	0
spoil	2003-12	0
spoil	2004-01	0
spoil	2004-02	0
spoil	2004-03	0
spoil	2004-04	0
spoil	2004-05	0
spoil	2004-06	0
spoil	2004-07	0
spoil	2004-08	0
spoil	2004-10	0
spoil	2004-11	0
spoil	2004-12	0
spoil	2005-01	0
spoil	2005-02	0
spoil	2005-03	0
spoil	2005-04	0
spoil	2005-05	0
spoil	2005-06	0
spoil	2005-07	0
spoil	2005-08	0
spoil	2005-09	0
spoil	2005-10	0
spoil	2005-11	0
spoil	2005-12	0
spoil	2006-01	0
spoil	2006-02	0
spoil	2006-03	0
spoil	2006-04	0
spoil	2006-05	0
spoil	2006-06	0
spoil	2006-07	0
spoil	2006-08	0
spoil	2006-09	0
spoil	2006-10	0
spoil	2006-11	0
spoil	2006-12	1
spoil	2007-01	2
spoil	2007-02	1
spoil	2007-03	2
spoil	2007-04	0
spoil	2007-05	0
spoil	2007-06	0
