lang;forum;title;original_author;start_date;end_date;range;time;nb_authors;nb_replies;avg_post_length;url
en;en_cosmetic_body;Tummy tuck in poland with dr adam k- any reviews;chique001;2009-04-09;2009-04-12;3;3;3;4;499;http://forum.sofeminine.co.uk/forum/f104/__f1193_f104-Tummy-tuck-in-poland-with-dr-adam-k-any-reviews.html
en;en_cosmetic_body;1 wk post op full tummy tuck & labiaplasty - any q's;aroundincircles;2013-02-22;2013-03-08;14;14;4;6;262;http://forum.sofeminine.co.uk/forum/f104/__f1601_f104-1-wk-post-op-full-tummy-tuck-labiaplasty-any-q-s.html
en;en_cosmetic_body;Vaser lipo after c section;lauramiller18;2013-04-29;2013-04-29;0;0;0;0;0;http://forum.sofeminine.co.uk/forum/f104/__f1718_f104-Vaser-lipo-after-c-section.html
en;en_cosmetic_body;Surgery abroad;leanneward86;2013-02-10;2013-02-25;15;15;11;21;388;http://forum.sofeminine.co.uk/forum/f104/__f1579_f104-Surgery-abroad.html
en;en_cosmetic_body;Be-clinic??;staceylola2;2011-08-16;2011-08-18;2;2;6;23;773;http://forum.sofeminine.co.uk/forum/f104/__f890_f104-Be-clinic.html
en;en_cosmetic_body;Smartlipo by dr al ayubi of swiss care;12kitty;2008-01-12;2008-05-02;111;111;26;36;398;http://forum.sofeminine.co.uk/forum/f104/__f1305_f104-Smartlipo-by-dr-al-ayubi-of-swiss-care.html
en;en_cosmetic_body;Tummy tuck in london;rmddssj;2013-05-10;2013-05-10;0;0;1;1;631;http://forum.sofeminine.co.uk/forum/f104/__f1727_f104-Tummy-tuck-in-london.html
en;en_cosmetic_body;Tummy tuck and liposuction with dr anthony erian;claudie08;2013-02-01;2013-04-20;78;78;1;1;204;http://forum.sofeminine.co.uk/forum/f104/__f1569_f104-Tummy-tuck-and-liposuction-with-dr-anthony-erian.html
en;en_cosmetic_body;Tummy tuck - what surgeon??;joannamarie;2010-10-14;2013-02-18;858;858;7;7;415;http://forum.sofeminine.co.uk/forum/f104/__f552_f104-Tummy-tuck-what-surgeon.html
en;en_cosmetic_body;Full tummy tuck... is it worth it?;aroundincircles;2013-01-30;2013-02-06;7;7;2;5;452;http://forum.sofeminine.co.uk/forum/f104/__f1568_f104-Full-tummy-tuck-is-it-worth-it.html
en;en_cosmetic_body;Tummy tuck and lipo booked aug 201 mr mahdi transform - anyone else?;kaymarie;2010-07-28;2012-11-19;845;845;7;10;444;http://forum.sofeminine.co.uk/forum/f104/__f442_f104-Tummy-tuck-and-lipo-booked-aug-201-mr-mahdi-transform-anyone-else.html
en;en_cosmetic_body;Any fitness fanatics had a tummy tuck?;susielovespink;2012-11-09;2012-11-11;2;2;2;2;388;http://forum.sofeminine.co.uk/forum/f104/__f1515_f104-Any-fitness-fanatics-had-a-tummy-tuck.html
en;en_cosmetic_body;What happens if you're not happy after vaser?;lisawoos989;2010-06-27;2010-11-17;143;143;14;17;546;http://forum.sofeminine.co.uk/forum/f104/__f396_f104-What-happens-if-you-re-not-happy-after-vaser.html
en;en_cosmetic_body;Tummy tuck....booked in for october;jodismith86;2012-08-06;2012-08-06;0;0;6;10;599;http://forum.sofeminine.co.uk/forum/f104/__f1435_f104-Tummy-tuck-booked-in-for-october-shy.html
en;en_cosmetic_body;Tummy tuck;shoshi6;2007-04-18;2007-05-02;14;14;13;17;407;http://forum.sofeminine.co.uk/forum/f104/__f1206_f104-Tummy-tuck.html
en;en_cosmetic_body;Where to go for smart lipo?;lovelystuff09;2009-11-17;2010-03-09;112;112;4;6;482;http://forum.sofeminine.co.uk/forum/f104/__f144_f104-Where-to-go-for-smart-lipo.html
en;en_cosmetic_body;Tummy tuck info please?;kinkyboots33;2012-08-24;2012-09-01;8;8;4;5;533;http://forum.sofeminine.co.uk/forum/f104/__f1453_f104-Tummy-tuck-info-please.html
en;en_cosmetic_body;Tummy tuck surgeons;sarahlondon2;2011-09-19;2011-10-18;29;29;11;11;257;http://forum.sofeminine.co.uk/forum/f104/__f921_f104-Tummy-tuck-surgeons.html
en;en_cosmetic_body;Mini- tummy tuck;trisha1210;2012-07-28;2012-07-28;0;0;0;0;0;http://forum.sofeminine.co.uk/forum/f104/__f1426_f104-Mini-tummy-tuck.html
en;en_cosmetic_body;Help! has anyone had lipo with dr adam kalecinski in poland?;mejulieeee;2012-01-02;2012-01-19;17;17;7;13;277;http://forum.sofeminine.co.uk/forum/f104/__f1034_f104-Help-has-anyone-had-lipo-with-dr-adam-kalecinski-in-poland.html
en;en_cosmetic_body;Tummy tucks with yannis alexandrides at harley st.;mich615;2009-06-10;2012-02-01;966;966;4;5;524;http://forum.sofeminine.co.uk/forum/f104/__f14_f104-Tummy-tucks-with-yannis-alexandrides-at-harley-st.html
en;en_cosmetic_body;Surgeon recommended for tummy tuck in uk;swifty02;2012-06-20;2012-06-20;0;0;1;1;852;http://forum.sofeminine.co.uk/forum/f104/__f1395_f104-Surgeon-recommended-for-tummy-tuck-in-uk.html
en;en_cosmetic_breasts;Ba tomorrow at highgate, mr. rezai;englandbunny;2013-03-06;2013-03-07;1;1;6;10;299;http://forum.sofeminine.co.uk/forum/f52/__f55436_f52-Ba-tomorrow-at-highgate-mr-rezai.html
en;en_cosmetic_breasts;Numbness;excitedvicky;2013-03-19;2013-03-19;0;0;5;6;227;http://forum.sofeminine.co.uk/forum/f52/__f55610_f52-Numbness.html
en;en_cosmetic_breasts;Anyone had a breast enlargement with transform?;tetti3;2008-05-27;2008-06-22;26;26;27;29;621;http://forum.sofeminine.co.uk/forum/f52/__f7442_f52-Anyone-had-a-breast-enlargement-with-transform.html
en;en_cosmetic_breasts;Anyone had 230-260cc?;becky7101;2013-03-15;2013-03-17;2;2;10;44;361;http://forum.sofeminine.co.uk/forum/f52/__f55566_f52-Anyone-had-230-260cc.html
