QUERY	TAG	TLD
'Fertility regulation'	Natural Faminily Planning	ca
hormonal cotraceptive	Contr. | risks & benefits	others
hormonal cotraceptive	Contr. | risks & benefits	others
hormonal cotraceptive	Contr. | risks & benefits	ac.uk
hormonal cotraceptive	Contr. | risks & benefits	ac.uk
condoms 'family planning'	Med. | methods	ac.uk
'Family size'	Contr. | family size	ac.uk
condoms 'family planning'	Med. | services	others
pill contraception	Med. | methods	ca
hormonal cotraceptive	Med. | methods	ca
contraception	Med. | methods	ca
condoms 'family planning'	Med. | methods	ca
'Preventing pregnancy'	Med. | sexual health	ca
'Preventing pregnancy'	Med. | methods	ca
'Pregnancy prevention'	Med. | methods	ca
'Planned parenthood'	Med. | sexual health	ca
'Birth control'	Med. | methods	ca
'Birth control'	Med. | methods	ca
'Birth control'	Med. | methods	ca
'Birth control methods'	Contr. | youth	ca
'Birth control methods'	Med. | methods	ca
'Birth control methods'	Med. | methods	ca
'Birth control methods'	Natural Faminily Planning	ca
'Planned parenthood'	Med. | services	ca
'pill'+'family planning'	Contr. | programme	others
'Not having babies'	Contr. | family size	others
IUD 'family planning'	Med. | methods	co.nz
condoms 'family planning'	Med. | methods	co.nz
condoms 'family planning'	Med. | methods	co.nz
'pill'+'family planning'	Contr. | youth	co.nz
'Not having babies'	Contr. | family size	co.nz
'Fertility regulation'	Natural Faminily Planning	co.nz
pill contraception	Contr. | risks & benefits	co.uk
pill contraception	Med. | methods	co.uk
pill contraception	Med. | methods	co.uk
IUD 'family planning'	Med. | methods	co.uk
hormonal cotraceptive	Contr. | risks & benefits	co.uk
hormonal cotraceptive	Med. | methods	co.uk
hormonal cotraceptive	Med. | methods	co.uk
hormonal cotraceptive	Med. | methods	co.uk
contraception	Med. | methods	co.uk
contraception	Med. | methods	co.uk
contraception	Med. | methods	co.uk
contraception	Med. | methods	co.uk
contraception	Med. | methods	co.uk
condoms contraception	Contr. | religion	co.uk
condoms 'family planning'	Contr. | advocacy	co.uk
condoms 'family planning'	Med. | methods	co.uk
'Pregnancy prevention'	Contr. | youth	co.uk
'pill'+'family planning'	Med. | sexual health	co.uk
'pill'+'family planning'	Med. | sexual health	co.uk
'pill'+'family planning'	Med. | methods	co.uk
'pill'+'family planning'	Med. | methods	co.uk
'pill'+'family planning'	Med. | methods	co.uk
'pill'+'family planning'	Med. | methods	co.uk
'Family size'	Contr. | family size	co.uk
'Family size'	Contr. | family size	co.uk
'Family size'	Contr. | family size	co.uk
pill contraception	Contr. | risks & benefits	co.za
family planning	Med. | methods	co.za
'Birth spacing'	Contr. | religion	co.za
'Preventing pregnancy'	Med. | methods	com
pill contraception	Contr. | law	com
pill contraception	Contr. | law	com
pill contraception	Contr. | law	com
pill contraception	Contr. | law	com
pill contraception	Contr. | law	com
pill contraception	Contr. | law	com
pill contraception	Contr. | risks & benefits	com
pill contraception	Contr. | religion	com
pill contraception	Med. | methods	com
pill contraception	Med. | methods	com
pill contraception	Med. | methods	com
pill contraception	Med. | methods	com
pill contraception	Med. | sales	com
IUD 'family planning'	Contr. | risks & benefits	com
IUD 'family planning'	Contr. | risks & benefits	com
IUD 'family planning'	Contr. | risks & benefits	com
IUD 'family planning'	Contr. | religion	com
IUD 'family planning'	Med. | methods	com
IUD 'family planning'	Med. | methods	com
hormonal cotraceptive	Contr. | finances	com
hormonal cotraceptive	Contr. | finances	com
hormonal cotraceptive	Contr. | finances	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
