host	tag
11points.com	Medical
2womenshealth.com	NFP
aaplog.org	C:law
abcnews.go.com	C:religion
abstinence.net	C:religion
acf.hhs.gov	C:education
aclu.org	C:law
acog.org	Medical
acta.tums.ac.ir	C:R/B
adcouncil.org	Medical
adph.org	Medical
advancedforwomen.com	C:R/B
advancefamilyplanning.org	C:advocacy
advocatesforyouth.org	C:education
aidsetc.org	C:R/B
aidsmap.com	C:R/B
ajmc.com	C:finances
americanpregnancy.org	Medical
amren.com	C:family size
anythingandwhatever.wordpress.com	C:family size
appcnc.org	C:education
apps.research.ufl.edu	Medical
arhp.org	Medical
aroomofourown.info	NFP
articles.latimes.com	C:R/B
articles.washingtonpost.com	C:youth
asiaone.com	C:family size
asrm.org	C:R/B
athenanetwork.org	C:R/B
avac.org	C:R/B
azdhs.gov	C:education
babycenter.com	C:family size
babycenter.com.au	Medical
backupyourbirthcontrol.org	C:law
bbc.co.uk	C:family size
bedsider.org	Medical
beforeplay.org	Medical
bellebeanchicagodog.com	C:family size
betterhealth.vic.gov.au	Medical
billings-centre.ab.ca	NFP
birthcontrolday.com	Medical
birthcontrolimplant.org	Medical
blogs.wsj.com	C:religion
bloomberg.com	C:family size
bodyandhealth.canada.com	Medical
bodyandsoul.com.au	C:R/B
boston.com	Medical
bpas.org	Medical
breitbart.com	C:politics
brook.org.uk	Medical
brothersforlife.org	Medical
bupa.co.uk	Medical
businessinsider.com	C:politics
c-hubonline.org	NFP
caiglobal.org	C:youth
cancer.gov	C:R/B
caringforkids.cps.ca	Medical
carolinafamilyplanning.org	C:religion
cathnews.co.nz	NFP
catholicvote.org	C:religion
cbc.ca	Medical
ccbh.net	Medical
cchealth.org	C:R/B
cctppc.org	C:youth
cdc.gov	C:youth
cecinfo.org	C:advocacy
cherg.org	C:R/B
chfs.ky.gov	Medical
chicagofamilyplanning.org	Medical
childrensaidsociety.org	C:education
childrenshomeandaid.org	C:education
choiceadvocates.org	C:politics
choiceproject.wustl.edu	C:advocacy
choisirsacontraception.fr	Medical
christianacare.org	C:education
christiancontraception.com	C:religion
christianfamilyplanning.net	C:religion
cid.oxfordjournals.org	C:R/B
civilwarnovel.blogspot.com	Medical
cks.nice.org.uk	Medical
clinicaltrials.gov	C:R/B
cnn.com	C:youth
colby.edu	C:development
colorado.gov	Medical
colorlines.com	C:youth
conceptfoundation.org	Medical
conrad.org	C:development
contemporaryobgyn.modernmedicine.com	C:youth
contracept.org	NFP
contraception.about.com	Medical
contraceptioninamerica.com	Medical
contraceptioninfo.com.au	Medical
contraceptionjournal.org	C:advocacy
contraceptions.org	Medical
contraceptive-options.com	C:R/B
contraceptive.ippf.org	Medical
coursera.org	C:advocacy
cpc.unc.edu	C:programme
ctvnews.ca	C:youth
cumc.columbia.edu	C:R/B
cyclebeads.com	NFP
dailycaller.com	C:politics
dailykos.com	C:law
dailymail.co.uk	C:youth
dawn.com	C:R/B
dhs.state.il.us	C:youth
dhs.wisconsin.gov	Medical
dhss.alaska.gov	C:R/B
dianedew.com	C:politics
divaasia.com	C:family size
doctorfox.co.uk	Medical
doctoryourself.com	NFP
